pl_name,pl_letter,disc_pubdate,disc_method,disc_refname,dkin_flag,ra,dec,glon,glat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,cb_flag,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_radj,pl_rade,pl_trueobliq,pl_bmassj,pl_bmasse,pl_ntranspec,sy_gaiamag,sy_tmag,sy_w1mag,sy_w4mag,hostname,sy_name,pl_ratdor,pl_imppar
BD-210397 c,c,2023-07,rv,<a refstr=FRENSCH_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.173F/abstract target=ref>Frensch et al. 2023</a>,0,33.3024198,-21.1962147,199.69949,-70.45622,6240,174,5.9,33,2460193,0.43,0,379.6005102,375.476,55.8061,42.1075,23.7324,69.51,,0.0039,3.91,1.15,12.9,,4.8,1525.5763536,0,9.25962,8.4502,,,BD-210397,BD-210397,,
BEBOP-3 b,b,2025-08,rv,<a refstr=BAYCROFT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.541.2801B/abstract target=ref>Baycroft et al. 2025</a>,0,110.902655,79.1323952,135.15193,28.11769,547,49,1.444,,2459633,0.247,1,32.3332358,-10.7175,-30.5053,8.37084,119.052,287.88,,1.159,0.34,1.26,14.2,,0.558,177.34825111,0,9.1008,8.70912,7.805,7.724,BEBOP-3,BEBOP-3,,
BEBOP-4 AB b,b,2025-12,rv,<a refstr=TRIAUD_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.544.2180T/abstract target=ref>Triaud et al. 2025</a>,0,192.5772651,26.1595358,288.27326,88.99898,1823.5,179.6,3.634,,2459108.5,0.428,1,12.8596366,12.5817,2.65915,4.23969,234.294,239.44,,0.5477,,,,,26.3,8358.8871041,0,9.43326,9.0024,8.033,8.081,BEBOP-4 A,BEBOP-4,,
Barnard b,b,2024-10,rv,<a refstr=GONZALEZ_HERNANDEZ_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...690A..79G/abstract target=ref>Gonz&aacute;lez Hern&aacute;ndez et al. 2024</a>,0,269.4486144,4.7379808,31.04815,14.08585,3.1542,3.8,0.0229,,2460243.38,0.03,0,10393.5508325,-802.803,10362.5,547.451,1.82655,438,,6.76,4.4,0.0642,0.72,,0.00094076,0.299,0,8.19511,6.88269,,,Barnard's star,Barnard's star,,
Barnard c,c,2025-03,rv,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>,0,269.4486144,4.7379808,31.04815,14.08585,4.1244,90.8,0.0274,,2460242.92,0.08,0,10393.5508325,-802.803,10362.5,547.451,1.82655,400,,4.7285,4.49,0.0663,0.743,,0.00105403,0.335,0,8.19511,6.88269,,,Barnard's star,Barnard's star,,
Barnard d,d,2025-03,rv,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>,0,269.4486144,4.7379808,31.04815,14.08585,2.3402,-51.8,0.0188,,2460243.7,0.04,0,10393.5508325,-802.803,10362.5,547.451,1.82655,483,,10.0441,4.32,0.062,0.694,,0.00082749,0.263,0,8.19511,6.88269,,,Barnard's star,Barnard's star,,
Barnard e,e,2025-03,rv,<a refstr=BASANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...982L...1B/abstract target=ref>Basant et al. 2025</a>,0,269.4486144,4.7379808,31.04815,14.08585,6.7392,-27.5,0.0381,,2460245.3,0.04,0,10393.5508325,-802.803,10362.5,547.451,1.82655,340,,2.4456,4.1,0.0568,0.637,,0.00060725,0.193,0,8.19511,6.88269,,,Barnard's star,Barnard's star,,
CD Cet b,b,2020-08,rv,<a refstr=BAUER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..50B/abstract target=ref>Bauer et al. 2020</a>,0,48.3530155,4.7751881,175.42689,-43.1678,2.2907,,0.0185,87.48,2458804.489,,0,1743.982574,1741.86,86.0172,116.154,8.60715,464,,8.6,3.6,0.162,1.82,,0.01242809,3.95,0,12.1232,10.6701,,,CD Cet,CD Cet,,
CD-35 2722 b,b,2011-03,ima,<a refstr=WAHHAJ_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...729..139W/abstract target=ref>Wahhaj et al. 2011</a>,0,92.3300147,-35.8255375,242.56023,-23.50087,,,67,,,,0,56.3961472,-3.72339,-56.2731,44.6346,22.3896,1800,,0,9.82,1.55,17.37392009,,29.5,9375.9380065,0,10.2176,9.20446,6.933,6.636,CD-35 2722,CD-35 2722,,
CFBDSIR J145829+101343 b,b,2011-10,ima,<a refstr=LIU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref> Liu et al. 2011 </a>,0,224.6208333,10.2286111,9.59427,55.65506,10037.5,,2.6,,,,0,,,,43.3,23.1,370,,,9.62,1.11,12.4,,10.5,3337.1,0,,,,,CFBDSIR J145829+101343,CFBDSIR J145829+101343,,
CFHTWIR-Oph 98 b,b,2020-12,ima,<a refstr=FONTANIVE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...905L..14F/abstract target=ref>Fontanive et al. 2020</a>,0,246.934277,-23.98115,353.60499,16.96444,8040000,,200,,,,0,,,,,,1800,,0,1.5,1.86,20.8487041,,7.8,2479.0615746,0,,18.525,13.99,8.056,CFHTWIR-Oph 98 A,CFHTWIR-Oph 98,,
CHXR 73 b,b,2006-10,ima,<a refstr=LUHMAN_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref> Luhman et al. 2006 </a>,0,166.6193985,-77.6258725,297.2776,-15.92181,,,210,,,,0,22.1935378,-22.1925,0.214627,5.23435,190.374,,,,11.8,1.1,12.3,,12.569,3994.486,0,17.2934,15.6098,10.275,9.406,CHXR 73,CHXR 73,,
CI Tau c,c,2024-06,rv,<a refstr=MANICK_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...686A.249M/abstract target=ref>Manick et al. 2024</a>,0,68.4667685,22.8416192,175.46435,-16.63607,25.2,344,0.17,,2458821.9,0.58,0,19.2503713,8.90416,-17.0673,6.30079,157.998,610.62,,19.2542,2.86,1.16,13,,3.6,1144.1822652,0,12.1454,11.1809,6.756,2.412,CI Tau,CI Tau,,
COCONUTS-2 b,b,2021-08,ima,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...916L..11Z/abstract target=ref>Zhang et al. 2021</a>,0,117.300914,-76.702696,288.91588,-23.12313,402000000,,7506,,,,0,218.5285982,-101.997,-193.265,91.8291,10.8864,493,,0,6.58,1.122,12.57647635,,7.5,2383.7130525,0,10.146,8.94488,6.49,6.074,COCONUTS-2 A,COCONUTS-2,,
CT Cha b,b,2008-11,ima,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,0,166.0375038,-76.4553693,296.65359,-14.90929,,,440,,,,0,22.2095894,-22.2089,-0.174998,5.21444,190.72,2600,,0,1.98,2.2,24.66,,17,5403,0,11.7733,10.9363,7.898,2.729,CT Cha,CT Cha,,
CWISEP J193518.59-154620.3 b,b,2025-09,ima,<a refstr=DE_FURIO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...990L..63D/abstract target=ref>De Furio et al. 2025</a>,0,293.8262172,-15.7725727,23.41213,-16.67132,,,2.48,,,,0,,,,,14.43,390,,,14.9,1.09,12.2,,15.5,4926.3403085,0,,,,,CWISEP J193518.59-154620.3,CWISEP J193518.59-154620.3,,
CoRoT-1 b,b,2008-05,tran,<a refstr=BARGE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..17B/abstract target=ref> Barge et al. 2008 </a>,0,102.0798591,-3.1021394,215.33882,-2.10712,1.5089557,,0.02752,85.1,,0,0,6.039454,-6.01462,0.54713,1.24176,787.909,1898,,2852.63,0.38,1.49,16.7,,1.03,327.35,6,13.457,13.0501,12.098,9.091,CoRoT-1,CoRoT-1,4.92,0.35
CoRoT-10 b,b,2010-09,tran,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,0,291.0636813,0.7460143,37.36069,-6.95299,13.2406,218.9,0.1055,88.55,2454990.85,0.53,0,22.9585905,-3.19635,-22.735,2.92694,338.386,600,,16.1089,3.7,0.97,10.87,,2.75,874,0,14.6645,13.8215,11.64,8.923,CoRoT-10,CoRoT-10,31.33,0.85
CoRoT-11 b,b,2010-12,tran,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,0,280.6872998,5.9376586,37.24009,4.63005,2.99433,,0.0436,83.17,,0,0,5.5818875,1.91873,-5.24175,1.50071,655.037,1657,,1890.649,0.99,1.43,16.03,,2.33,740.51,0,12.841,12.419,11.173,9.198,CoRoT-11,CoRoT-11,6.89,0.818
CoRoT-12 b,b,2010-09,tran,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,0,100.7656871,-1.2964437,213.13155,-2.45441,2.828042,105,0.04016,85.48,,0.07,0,3.8659215,1.69419,-3.47492,0.861234,1126.37,1442,,661.1334,0.411,1.44,16.14,,0.917,291.438,0,15.3453,14.7971,13.47,8.61,CoRoT-12,CoRoT-12,8.0972,0.573
CoRoT-13 b,b,2010-11,tran,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,0,102.7211432,-5.0864557,217.3986,-2.43966,4.03519,,0.051,88.02,,0,0,3.6450532,1.63671,-3.25693,0.843947,1148.93,1700,,546.5339,2.34,0.885,9.92,,1.308,415.704,0,14.9147,14.4266,13.17,8.946,CoRoT-13,CoRoT-13,10.81,0.374
