sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
Kepler-1955,1,1,0,0,299.5347603,40.4777528,75.83798,5.83975,449.351,2.19704,8.3994405,-6.25311,-5.60796,12.5298,12.0696,12.609,11.429,11.08,11.022,9.337
Kepler-1956,1,1,0,0,294.6208506,49.894219,82.51464,13.40876,360.468,2.74565,21.8428123,-17.2679,13.3764,15.5722,14.7855,15.989,13.637,12.848,12.816,9.368
Kepler-1957,1,1,0,0,293.711436,47.8874467,80.39441,13.0557,460.899,2.14097,15.992022,9.0836,-13.1618,14.7806,14.138,15.13,13.233,12.613,12.532,9.194
Kepler-1958,1,1,0,0,289.1041643,41.6901138,73.2066,13.355,1320.38,0.728947,6.2172316,-2.59174,-5.65127,15.4313,14.9229,15.486,14.196,13.727,13.656,9.383
Kepler-1959,1,1,0,0,296.022301,44.7326691,78.2779,10.19197,479.263,2.05799,5.1874471,4.22382,3.01147,14.5568,13.9433,14.797,13.049,12.494,12.467,9.15
Kepler-196,1,3,0,0,284.9685077,42.0791214,72.31497,16.33606,451.312,2.18692,15.8750168,-3.0314,-15.5829,14.1033,13.545,14.239,12.752,12.235,12.212,9.091
Kepler-1960,1,1,0,0,294.6969361,46.7202043,79.6328,11.93494,1527.56,0.62618,1.6106445,-0.673239,1.46319,15.0761,14.6541,15.181,14.091,13.685,13.718,9.67
Kepler-1961,1,1,0,0,286.3300783,39.6831276,70.43639,14.45986,1042.45,0.931191,11.3279309,-7.55077,-8.4444,15.695,15.121,15.809,14.311,13.744,13.815,9.434
Kepler-1962,1,1,0,0,289.5483989,40.1641457,71.93138,12.40847,866.826,1.12523,8.5244443,0.996831,-8.46596,14.9657,14.463,15.146,13.773,13.412,13.303,8.885
Kepler-1963,1,1,0,0,296.5875182,47.207129,80.68423,11.01842,492.847,2.00017,11.8293177,-0.663417,-11.8107,13.8875,13.3905,14.054,12.693,12.261,12.222,9.415
Kepler-1964,1,1,0,0,297.0588033,49.4784362,82.87706,11.81648,,,14.6653147,-12.2184,-8.11062,,15.429,16.363,14.195,13.45,13.293,9.311
Kepler-1965,1,1,0,0,292.5147146,38.0219872,71.00921,9.39733,521.791,1.88772,12.5252883,3.81955,-11.9287,13.6415,13.1776,13.839,12.53,12.12,12.07,9.072
Kepler-1966,1,1,0,0,292.4637788,41.2990438,73.95914,10.91713,484.601,2.03746,12.2648112,-12.033,-2.37329,14.7889,14.1873,15.222,13.255,12.643,12.503,8.770001
Kepler-1967,1,1,0,0,299.1376276,43.4984724,78.30027,7.63779,249.102,3.98551,47.8963215,-26.2422,-40.0675,13.3752,12.7345,13.519,11.827,11.192,11.097,8.263
Kepler-1968,1,1,0,0,291.5080318,45.3700933,77.39076,13.32569,750.93,1.304,23.1706859,-12.7004,-19.3799,15.9711,15.3227,16.303,14.428,13.802,13.76,8.756
Kepler-1969,1,1,0,0,294.7842662,49.4920557,82.19331,13.13472,1204.54,0.802013,6.615393,0.281994,-6.60938,15.6806,15.1893,15.851,14.488,14.235,13.914,9.35
Kepler-197,2,4,0,0,295.2264739,50.5592348,83.30414,13.35928,330.575,2.99628,53.8032155,8.43943,53.1372,11.78,11.4036,11.775,10.814,10.535,10.331,8.779
Kepler-1972,1,2,0,0,288.3953074,39.8725067,71.27937,13.08704,287.339,3.45152,28.796531,3.41182,-28.5937,11.1438,10.71,11.23,10.118,9.792,9.743,8.633
Kepler-1976,1,1,0,0,292.16706,48.7275345,80.71768,14.34495,1314.51,0.732141,12.8090676,0.621109,-12.794,15.258,14.7897,15.445,14.123,13.805,13.756,9.648
Kepler-1977,1,1,0,0,290.6178587,37.2891002,69.65882,10.40856,592.711,1.65928,14.8026416,-14.2461,4.0208,15.654,14.9799,16.047,14.058,13.358,13.242,8.532
Kepler-1978,1,1,0,0,286.0067312,38.0095407,68.74978,14.02188,865.512,1.12699,5.0689827,1.61067,4.80628,15.3665,14.7856,15.49,13.99,13.44,13.43,8.937
Kepler-1979,1,1,0,0,289.8429062,38.309622,70.31978,11.40614,1076.27,0.901221,3.3462749,3.072,1.32679,15.2323,14.736,15.484,14.015,13.611,13.552,9.293
Kepler-198,1,3,0,0,290.6731326,38.6910045,70.95869,10.98805,495.358,1.98998,2.5831142,-1.67881,1.96318,13.5662,13.092,13.684,12.421,12.027,11.998,9.257
Kepler-1980,1,1,0,0,295.1672065,38.637039,72.54413,7.84665,1709.4,0.56016,5.7098449,-2.45337,-5.1559,15.5691,15.0548,15.906,14.284,13.81,13.885,9.328
Kepler-1981,1,1,0,0,287.9754691,38.7402988,70.08397,12.91169,659.395,1.48775,3.4360216,1.83324,2.90611,13.3811,12.9475,13.563,12.334,11.951,11.942,9.29
Kepler-1982,1,1,0,0,287.4099905,39.6586267,70.75846,13.68918,558.855,1.76079,18.173806,-11.4634,-14.1024,12.6166,12.2536,12.696,11.727,11.473,11.432,8.907
Kepler-1983,1,1,0,0,297.042015,39.9121864,74.37983,7.19857,424.428,2.32739,9.6754387,-7.5249,-6.08194,14.3031,13.6964,14.518,12.852,12.232,12.198,8.798
Kepler-1984,1,1,0,0,291.2850446,40.7300225,73.03685,11.46139,,,11.7371432,11.3873,-2.84428,15.8683,14.9141,16.192,13.465,12.58,12.523,9.141
Kepler-1985,1,1,0,0,293.5663715,42.1325825,75.09485,10.56064,,,,,,15.7053,15.1411,15.223,14.068,13.556,13.411,8.922
Kepler-1986,1,1,0,0,292.9582727,42.8548909,75.54383,11.28757,912.085,1.06892,8.9247657,8.71338,-1.93092,15.718,15.1792,15.661,14.386,13.908,13.845,9.122
Kepler-1987,1,4,0,0,295.8254663,42.9433716,76.6116,9.4666,595.683,1.65058,8.7000881,-7.70696,-4.03662,15.505,14.822,15.477,13.842,13.154,,
Kepler-1988,1,1,0,0,298.6738034,43.7955099,78.38825,8.07743,513.426,,,,,12.1213,11.6593,12.128,10.865,10.521,10.411,9.136
Kepler-1989,1,1,0,0,290.7351869,44.091262,75.96152,13.27861,1252.13,0.770016,11.2958043,3.77737,-10.6455,14.6131,14.1727,14.289,13.559,13.193,,
Kepler-199,1,2,0,0,295.5594278,40.236249,74.10843,8.34737,521.054,1.8904,4.0256381,-1.94326,-3.52555,13.5973,13.127,13.796,12.449,12.083,11.845,8.879
Kepler-1990,1,2,0,0,299.7047433,44.4357068,79.32401,7.76339,392.739,2.51773,10.8451753,-3.15374,-10.3765,12.5829,12.1207,11.946,11.398,11.055,10.675,8.991
Kepler-1991,1,2,0,0,285.0360506,45.0709909,75.23947,17.39498,855.82,1.13978,15.1072656,-7.93703,-12.8543,14.7212,14.2222,15.048,13.539,13.067,12.988,9.326
Kepler-1992,1,1,0,0,295.0902409,45.0811045,78.276,10.93841,532.955,1.8475,12.8174719,-1.20504,-12.7607,13.554,13.0207,13.79,12.262,11.767,11.717,9.435
