hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
HAT-P-22,2.103489,HAT-P-22,HD 233731,,TIC 252479260,Gaia DR3 846946629987527168,G5 V,5302,1.11,1.13,-0.114,1.16,4.36,12.4,0.24,[Fe/H],12.63696,28.7,0.5,
HAT-P-23,2.103490,HAT-P-23,,,TIC 305243225,Gaia DR3 1808938730710633984,G0,5905,1.203,1.13,0.199,1.204,4.33,4,0.15,[Fe/H],-15.1,,8.1,
HAT-P-24,2.103491,HAT-P-24,,,TIC 440777904,Gaia DR3 3167323052618369408,F8,6373,1.38,1.37,0.408,0.74,4.27,2.8,-0.16,[Fe/H],-2.09,,10,
HAT-P-25,2.103492,HAT-P-25,,,TIC 35022727,Gaia DR3 111322601672419712,G5,5519,0.919,1.012,-0.15181,1.84,4.516,3.2,0.294,[Fe/H],-12.51,,0.5,
HAT-P-26,2.103496,HAT-P-26,,,TIC 420779000,Gaia DR3 3668036348641580288,K1,5079,0.87,1.12,-0.35928,2.37,4.56,9,-0.04,[Fe/H],14.72,,1.9,
HAT-P-27,2.103503,HAT-P-27,,,TIC 461239485,Gaia DR3 1159336403336463872,G8,5316,0.864673,0.916,-0.26926,1.997583,4.52626,4.4,0.3,[M/H],-15.765,,0.4,
HAT-P-28,2.103507,HAT-P-28,,,TIC 53728859,Gaia DR3 363702817083391232,G3,5680,1.103,1.025,0.053,1.243745,4.36,6.1,0.12,[Fe/H],43.884,,0.2,
HAT-P-29,2.103508,HAT-P-29,,,TIC 250707118,Gaia DR3 359058441314838528,F8,6087,1.3,1.45,0.31175,0.93,4.34,2.2,0.21,[Fe/H],-21.651,,3.9,
HAT-P-3,2.103408,HAT-P-3,,,TIC 311035838,Gaia DR3 1510191594552968832,K1,5185,0.87,1.06,-0.36,2.28,4.56,1.6,0.27,[Fe/H],-23.3849,19.9,0.46,
HAT-P-30,2.103512,HAT-P-30,,,TIC 455135327,Gaia DR3 3096441729861716224,F7,6304,1.31,1.55,0.312,0.98,4.36,1,0.13,[Fe/H],45.51,,2.2,
HAT-P-31,2.103517,HAT-P-31,,,TIC 320798691,Gaia DR3 4583004815239650176,,6065,1.39,1.31,0.43315,0.69,4.26,3.17,0.15,[Fe/H],-2.4,,0.5,
HAT-P-32,2.103518,HAT-P-32,,,TIC 292152376,Gaia DR3 356348286886230272,,6001,1.367,1.132,0.33806,0.625,4.22,2.7,-0.16,[Fe/H],-23.21,,20.7,
HAT-P-33,2.103519,HAT-P-33,,,TIC 239154970,Gaia DR3 893550942158776832,F4,6446,1.79,1.82,0.618,0.45,4.15,2.3,0.05,[Fe/H],23.03,,15.57,
HAT-P-34,2.103531,HAT-P-34,HD 351766,,TIC 278348461,Gaia DR3 1810218734058821632,,6442,1.53,1.392,0.6003,0.505,4.21,1.7,0.22,,-49.26,,24,
HAT-P-35,2.103532,HAT-P-35,,,TIC 455096220,Gaia DR3 3094733088793018240,,6096,1.435,1.236,0.38307,0.59,4.21,3.5,0.11,,40.95,,0.5,
HAT-P-36,2.103534,HAT-P-36,,,TIC 373693175,Gaia DR3 1541532207133249920,G5 V,5620,1.041,1.03,0.02243,1.089,4.416,6.6,0.25,[Fe/H],-16.29,,3.58,
HAT-P-37,2.103535,HAT-P-37,,,TIC 267572272,Gaia DR3 2133946843094378752,,5500,0.877,0.929,-0.208,1.87,4.52,3.6,0.03,[Fe/H],-20.53,,3.07,
HAT-P-38,2.103659,HAT-P-38,,,TIC 285272237,Gaia DR3 324889227693298560,G5,5330,0.923,0.886,-0.208,1.207841,4.45,10.1,0.06,[Fe/H],-19.7,,0.4,
HAT-P-39,2.103660,HAT-P-39,,,TIC 14770122,Gaia DR3 3169391577586325120,,6430,1.625,1.404,0.607,0.349486,4.16,2,0.19,[Fe/H],28.42,,12.7,
HAT-P-4,2.103414,HAT-P-4,,,TIC 138294130,Gaia DR3 1291120362349158016,F,5860,1.596,1.248,0.431,0.437,4.127,3.9,0.24,,-1.58,,5.83,
HAT-P-40,2.103661,HAT-P-40,,,TIC 199671901,Gaia DR3 1962153854973972096,,6080,1.94,1.03,0.778,0.2,3.93,2.7,0.22,[Fe/H],-25,,6.9,
HAT-P-41,2.103662,HAT-P-41,,,TIC 398895470,Gaia DR3 4290415081653653632,,6390,2.05,2.56,0.628,0.42,4.14,2.2,0.21,[Fe/H],31.68,,19.6,
